WBObjectProperty                        domain:                                                                       range:                                                                       
hasSubCategory                          domain: aosc:c_category	                                                      range: aosc:c_category	                                                      
isSubCategoryOf                         domain: aosc:c_category	                                                      range: aosc:c_category	                                                      
belongsToScheme                         domain: aosc:c_category	                                                      range: aosc:c_classification_scheme	                                         
hasDefinition                           domain: aosc:c_category	                                                      range: aosc:c_definition	                                                    
hasMappedDomainConcept                  domain: aosc:c_category	                                                      range: aosc:c_domain_concept	                                                
hasLexicalization                       domain: aosc:c_category	                                                      range: aosc:c_lexicalization
hasCategory                             domain: aosc:c_classification_scheme	                                        range: aosc:c_category	                                                      
isDefinitionOf                          domain: aosc:c_definition	                                                    range: aosc:c_category	                                                      
belongsToCategory                       domain: aosc:c_domain_concept	                                                range: aosc:c_category	                                                      
actsUpon                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
affects                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
afflicts                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
benefitsFrom                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
bibliographicRelationship               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
causativeRelationship                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
causes                                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
compose                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
controls                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
developsFrom                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
developsInto                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
essiveRelationship                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
follows                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
formerlyIncludedIn                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
formerlyIncludes                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
greaterThan                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
growsln                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasAntonym                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasBiologicalControlAgent               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasBreedingMethod                       domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasClass                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasComponent                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasComposition                          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasControlMethod                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasCropingSystem                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasCultivationProcess                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasDisease                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasDisorder                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasFamily                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasGenus                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasGoalOrProcess                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasGreatGroup                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasHost                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasInfectionPart                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasMember                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasNaturalEnemy                         domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasObjectOfActivity                     domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasOrder                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasParent                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPart                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPathogen                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPest                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPhysiologicalFunction                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPortion                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPostProductionPractice               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPractice                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasProduct                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPropagationMaterial                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasPropagationProcess                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasProperty                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasRelatedConcept                       domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasRelatedType                          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasScopenoteRelatedToConcept            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasSpecies                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasSubOrder                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasSubstitute                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasSymptom                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasTaxonomicLevel                       domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasTheme                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasType                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasVariety                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasWeed                                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includes                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesFamily                          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesGenus                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesGreatGroup                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesOrder                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesSpecies                         domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesSubGroup                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesSubprocess                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
includesSubspecies                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
indicates                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
influences                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
instrumentalRelationship                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isAGrowthEnvironmentFor                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isAchievedByMeansOf                     domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isActedUponBy                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isAffectedBy                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isAfflictedBy                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isBeneficialFor                         domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isBiologicalControlAgentOf              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isBreedingMethodOf                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isCausedBy                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isComponentOf                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isComposedOf                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isCompositionOf                         domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isControlMethodOf                       domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isControlledBy                          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isCropingSystemOf                       domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isCultivationProcessOf                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isDerivedFrom                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isDiseaseFor                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isDisorderOf                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isHostFor                               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isIncludedIn                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isInfectedPartOf                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isInfluencedBy                          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isInputFor                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isMadeFrom                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isMeansFor                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
